FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356030588.tiff,cfc_capture_1719356030588_tiff,1719356030588,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356033858.tiff,cfc_capture_1719356033858_tiff,1719356033858,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356037176.tiff,cfc_capture_1719356037176_tiff,1719356037176,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356040460.tiff,cfc_capture_1719356040460_tiff,1719356040460,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356043713.tiff,cfc_capture_1719356043713_tiff,1719356043713,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356047024.tiff,cfc_capture_1719356047024_tiff,1719356047024,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356050271.tiff,cfc_capture_1719356050271_tiff,1719356050271,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356053547.tiff,cfc_capture_1719356053547_tiff,1719356053547,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356056900.tiff,cfc_capture_1719356056900_tiff,1719356056900,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356060156.tiff,cfc_capture_1719356060156_tiff,1719356060156,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356063445.tiff,cfc_capture_1719356063445_tiff,1719356063445,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356066710.tiff,cfc_capture_1719356066710_tiff,1719356066710,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356069958.tiff,cfc_capture_1719356069958_tiff,1719356069958,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356073237.tiff,cfc_capture_1719356073237_tiff,1719356073237,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356076475.tiff,cfc_capture_1719356076475_tiff,1719356076475,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356079767.tiff,cfc_capture_1719356079767_tiff,1719356079767,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356083108.tiff,cfc_capture_1719356083108_tiff,1719356083108,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356086483.tiff,cfc_capture_1719356086483_tiff,1719356086483,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356089828.tiff,cfc_capture_1719356089828_tiff,1719356089828,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356093112.tiff,cfc_capture_1719356093112_tiff,1719356093112,8,1
